source_artifact,legacy_field_path,legacy_required,expected_datatype,cardinality,conditional_rule,current_rdf_predicate,current_rdf_value_kind,current_adapter,notes
#AgentDetails&1.0.0,contact_number,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,country,yes,string,1,always,schema:nationality,literal string,sAgentDetails_1x0x0_toFluree .R,
#AgentDetails&1.0.0,date_of_birth,yes,string,1,always,schema:birthDate,literal string,sAgentDetails_1x0x0_toFluree .R,
#AgentDetails&1.0.0,email_address,yes,string,1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,headers,yes,ref:#DocumentHeaders&1.0.0,1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Adapter ignores headers.
#AgentDetails&1.0.0,id_acc_h,yes,string,1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Hedera account identifier is not emitted by current adapter.
#AgentDetails&1.0.0,initials,yes,string,1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Initials are not emitted by current adapter.
#AgentDetails&1.0.0,name_first,no,string,0..1,always,schema:givenName,literal string,sAgentDetails_1x0x0_toFluree .R,
#AgentDetails&1.0.0,name_last,yes,string,1,always,schema:familyName,literal string,sAgentDetails_1x0x0_toFluree .R,
#AgentDetails&1.0.0,supporting_evidence_contact_no,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,supporting_evidence_email,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,supporting_evidence_pp1,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#AgentDetails&1.0.0,supporting_evidence_pp2,no,string,0..1,always,UNMAPPED,,sAgentDetails_1x0x0_toFluree .R,Not emitted by current adapter.
#DR-LicenseApplication&1.0.0,commentary_r,yes,string,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#DR-LicenseApplication&1.0.0,final_rd,yes,string enum[APPROVE|REJECT],1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#DR-LicenseApplication&1.0.0,headers,yes,ref:#DocumentHeaders&1.0.0,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#DR-LicenseApplication&1.0.0,id_acc_h,yes,string,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#DR-LicenseApplication&1.0.0,id_msg_drad,yes,string,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#DR-LicenseApplication&1.0.0,license,yes,string enum[PROJECT_DEVELOPER|PDD_VALIDATOR|MR_VERIFIER],1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#DR-LicenseApplication&1.0.0,url_ipfs_drad,yes,string,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#DRVICIR&1.0.0,final_rd,yes,string enum[APPROVE|REJECT],1,always,nias-o:finalReviewDecision,SKOS concept IRI,,Covered by dataRequirements/review-shapes.ttl.
#DRVICIR&1.0.0,headers,yes,ref:#DocumentHeaders&1.0.0,1,always,nias-o:hasWorkflowSubmission,nias-o:WorkflowDocumentSubmission node,,Covered by dataRequirements/review-shapes.ttl.
#DRVICIR&1.0.0,id_acc_h,yes,string,1,always,nias-o:requestedIssuanceAccountId,literal string,,Covered by dataRequirements/review-shapes.ttl.
#DRVICIR&1.0.0,review,yes,array<ref:#DocumentFieldReview&1.0.0>,1..*,always,nias-o:fieldReview,array of nias-o:DocumentFieldReview nodes,,Covered by dataRequirements/review-shapes.ttl.
#DataLineageReport4.0.0,headers,yes,ref:#DocumentHeaders&1.0.0,1,always,nias-o:hasWorkflowSubmission,nias-o:WorkflowDocumentSubmission node,,Covered by dataRequirements/data-lineage-shapes.ttl.
#DataLineageReport4.0.0,monitoring_period,yes,ref:#DateTimePeriod&1.0.0,1,always,nias-o:forPeriod,time:Interval node,,Covered by dataRequirements/data-lineage-shapes.ttl.
#DataLineageReport4.0.0,name_dataset,yes,string,1,always,dcterms:title,literal string,,Covered by dataRequirements/data-lineage-shapes.ttl.
#DataLineageReport4.0.0,uri_ipfs_data_final,yes,string,1,always,nias-o:finalDatasetArtifact/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/data-lineage-shapes.ttl.
#DataLineageReport4.0.0,uri_ipfs_data_raw,yes,string,1,always,nias-o:rawDatasetArtifact/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/data-lineage-shapes.ttl.
#DataLineageReport4.0.0,uri_ipfs_report_cleaning,yes,string,1,always,nias-o:dataCleaningReport/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/data-lineage-shapes.ttl.
#DataLineageReport4.0.0,uri_ipfs_report_transfer,yes,string,1,always,nias-o:dataTransferReport/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/data-lineage-shapes.ttl.
#DataLineageReport4.0.0,uri_ipfs_rmd_cleaning,yes,string,1,always,nias-o:dataCleaningCode/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/data-lineage-shapes.ttl.
#DataLineageReport4.0.0,uri_ipfs_rmd_transfer,yes,string,1,always,nias-o:dataTransferCode/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/data-lineage-shapes.ttl.
#Dataset&1.0.0,id_msg_drdlr,yes,string,1,always,nias-o:dataLineageReview/nias-o:documentMessageId,literal string,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#Dataset&1.0.0,name_dataset,yes,string,1,always,dcterms:title,literal string,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#Dataset&1.0.0,uri_ipfs_dataset_final,yes,string,1,always,nias-o:finalDatasetArtifact/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#Dataset&1.0.0,uri_ipfs_drdlr,yes,string,1,always,nias-o:dataLineageReview/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#DateTimePeriod&1.0.0,datetime_end,yes,string,1,always,time:hasEnd/time:inXSDDateTimeStamp,literal string,dateTimePeriod_toFluree.R,
#DateTimePeriod&1.0.0,datetime_start,yes,string,1,always,time:hasBeginning/time:inXSDDateTimeStamp,literal string,dateTimePeriod_toFluree.R,
#DocumentFieldReview&1.0.0,field_key,yes,string,1,always,nias-o:fieldKey,literal string,,Covered by dataRequirements/review-shapes.ttl.
#DocumentFieldReview&1.0.0,field_prompt,yes,string,1,always,nias-o:fieldPrompt,literal string,,Covered by dataRequirements/review-shapes.ttl.
#DocumentFieldReview&1.0.0,field_title,yes,string,1,always,nias-o:fieldTitle,literal string,,Covered by dataRequirements/review-shapes.ttl.
#DocumentFieldReview&1.0.0,original_response,yes,string,1,always,nias-o:originalResponse,literal string,,Covered by dataRequirements/review-shapes.ttl.
#DocumentFieldReview&1.0.0,reviewer_decision,yes,string enum[APPROVE|FORWARD_ACTION_REQUEST|CORRECTIVE_ACTION_REQUEST|REJECT],1,always,nias-o:reviewerDecision,SKOS concept IRI,,Covered by dataRequirements/review-shapes.ttl.
#DocumentFieldReview&1.0.0,reviewer_feedback,yes,string,1,always,nias-o:reviewerFeedback,literal string,,Covered by dataRequirements/review-shapes.ttl.
#DocumentHeaders&1.0.0,id_msg_lic,no,string,0..1,always,UNMAPPED,,,Submitter license Hedera message reference; represented only as legacy document header input.
#DocumentHeaders&1.0.0,id_msg_pred,no,string,0..1,always,UNMAPPED,,,Predecessor Hedera message reference; represented only as legacy document header input.
#DocumentHeaders&1.0.0,id_subject,no,string,0..1,always,@id / nias-o:workflowSubject,IRI seed,sPDDxA_1x0x0_toFluree.R; workflowDocumentMetadata_toFluree.R,Used to mint nias-o:activities/{id_subject} or workflow subject IRIs depending on adapter context.
#DocumentHeaders&1.0.0,type_subject,no,string enum[PROJECT|AGENT],0..1,always,UNMAPPED,,,Legacy subject discriminator PROJECT/AGENT; not emitted by current R adapters.
#DocumentHeaders&1.0.0,url_ipfs_lic,no,string,0..1,always,UNMAPPED,,,Submitter license IPFS reference; represented only as legacy document header input.
#DocumentHeaders&1.0.0,url_ipfs_pred,no,string,0..1,always,UNMAPPED,,,Predecessor IPFS reference; represented only as legacy document header input.
#GenericDocumentReview&5.0.0,final_rd,yes,string enum[APPROVE|REJECT],1,always,nias-o:finalReviewDecision,SKOS concept IRI,,Covered by dataRequirements/review-shapes.ttl.
#GenericDocumentReview&5.0.0,headers,yes,ref:#DocumentHeaders&1.0.0,1,always,nias-o:hasWorkflowSubmission,nias-o:WorkflowDocumentSubmission node,,Covered by dataRequirements/review-shapes.ttl.
#GenericDocumentReview&5.0.0,review,yes,array<ref:#DocumentFieldReview&1.0.0>,1..*,always,nias-o:fieldReview,array of nias-o:DocumentFieldReview nodes,,Covered by dataRequirements/review-shapes.ttl.
#Impact&3.0.0,additionality,no,string,0..1,if not (monitored == NO),nias-o:additionalityJustification,literal string,sImpact_3x0x0_toFluree.R,JSON schema branch lists this property but does not require it.
#Impact&3.0.0,beneficial_or_adverse,yes,string enum[BENEFICIAL|ADVERSE],1,always,nias-o:beneficialOrAdverse,SKOS concept IRI,sImpact_3x0x0_toFluree.R,BENEFICIAL/ADVERSE mapped to nias-o concept IDs.
#Impact&3.0.0,crediting_period,no,ref:#DateTimePeriod&1.0.0,0..1,if not (monitored == NO),nias-o:creditingPeriod,nias-o:CreditingPeriod node,sImpact_3x0x0_toFluree.R; creditingPeriod_toFluree.R,JSON schema branch lists this property but does not require it.
#Impact&3.0.0,crediting_period_type,no,string enum[RENEWABLE|NON_RENEWABLE],0..1,if not (monitored == NO),nias-o:creditingPeriod/nias-o:creditingPeriodIsRenewable,boolean literal,sImpact_3x0x0_toFluree.R; creditingPeriod_toFluree.R,RENEWABLE maps to true; all other values map to false. JSON schema branch lists this property but does not require it.
#Impact&3.0.0,data_and_parameters,no,array<ref:#TableRow-DataParameterMonitoring&1.0.0>,0..*,if not (monitored == NO),UNMAPPED,,sImpact_3x0x0_toFluree.R,JSON-only data requirements; current adapter does not emit them. JSON schema branch lists this property but does not require it.
#Impact&3.0.0,description,yes,string,1,always,schema:description,literal string,sImpact_3x0x0_toFluree.R,
#Impact&3.0.0,impact_estimation_ex_ante,no,number,0..1,if not (monitored == NO),UNMAPPED,,sImpact_3x0x0_toFluree.R,JSON-only expected ex-ante impact estimate; current adapter does not emit it. JSON schema branch lists this property but does not require it.
#Impact&3.0.0,indicator,no,string,0..1,if not (monitored == NO),UNMAPPED,,sImpact_3x0x0_toFluree.R,Legacy free-text indicator description is not emitted; adapter emits indicator_label and indicator_unit_of_measure instead. JSON schema branch lists this property but does not require it.
#Impact&3.0.0,indicator_label,no,string,0..1,if not (monitored == NO),impactont:isDefinedByIndicator/rdfs:label,embedded indicator node literal,sImpact_3x0x0_toFluree.R; indicator_toFluree.R,JSON schema branch lists this property but does not require it.
#Impact&3.0.0,indicator_unit_of_measure,no,string,0..1,if not (monitored == NO),impactont:isDefinedByIndicator/nias-o:unitOfMeasure,embedded indicator node literal,sImpact_3x0x0_toFluree.R; indicator_toFluree.R,JSON schema branch lists this property but does not require it.
#Impact&3.0.0,intentionality,yes,string enum[INTENTIONAL|UNINTENTIONAL],1,always,nias-o:impactIntentionality,SKOS concept IRI,sImpact_3x0x0_toFluree.R,INTENTIONAL/UNINTENTIONAL mapped to nias-o concept IDs.
#Impact&3.0.0,methodologies,no,array<ref:#MethodologyApplicability&3.0.0>,0..*,if not (monitored == NO),nias-o:indicatorMethodology,array of methodology nodes,sImpact_3x0x0_toFluree.R; sMethodology_1x0x0_toFluree.R,JSON schema branch lists this property but does not require it.
#Impact&3.0.0,monitored,yes,string enum[YES|NO],1,always,nias-o:monitored,SKOS concept IRI,sImpact_3x0x0_toFluree.R,YES/NO mapped to nias-o:yes/nias-o:no.
#Impact&3.0.0,monitoring_periods,no,array<ref:#DateTimePeriod&1.0.0>,0..*,if not (monitored == NO),nias-o:monitoringPeriod,array of time:Interval nodes,sImpact_3x0x0_toFluree.R; dateTimePeriod_toFluree.R,JSON schema branch lists this property but does not require it.
#Impact&3.0.0,not_monitored_justification,no,string,0..1,if monitored == NO,nias-o:notMonitoredJustification,literal string,sImpact_3x0x0_toFluree.R,Adapter branch condition is misspelled as not_monitored_justifcation but reads not_monitored_justification. JSON schema branch lists this property but does not require it.
#Impact&3.0.0,state_baseline,no,number,0..1,if not (monitored == NO),impactont:hasStateA/impactont:hasValue,numeric literal,sImpact_3x0x0_toFluree.R; state_toFluree.R,JSON schema branch lists this property but does not require it.
#Impact&3.0.0,state_project,no,number,0..1,if not (monitored == NO),impactont:hasStateB/impactont:hasValue,numeric literal,sImpact_3x0x0_toFluree.R; state_toFluree.R,JSON schema branch lists this property but does not require it.
#ImpactSummary&1.0.0,description_impact,yes,string,1,always,nias-o:impactDescription,literal string,,Covered by dataRequirements/certificate-shapes.ttl.
#ImpactSummary&1.0.0,extent_impact,yes,number,1,always,ind:obsValue,numeric literal,,Covered by dataRequirements/certificate-shapes.ttl.
#ImpactSummary&1.0.0,period_impact,yes,ref:#DateTimePeriod&1.0.0,1,always,ind:timePeriod,time:Interval node,,Covered by dataRequirements/certificate-shapes.ttl.
#ImpactSummary&1.0.0,unit_impact,yes,string,1,always,ind:hasUnit,QUDT unit IRI,,Covered by dataRequirements/certificate-shapes.ttl.
#IndependentImpactAgentLicense&1.0.0,did_licensee,yes,string,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#IndependentImpactAgentLicense&1.0.0,email_address,yes,string,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#IndependentImpactAgentLicense&1.0.0,license_number,yes,string,1,always,nias-o:licenseNumber,literal string,,Target mapping described in migration path; no current R adapter.
#IndependentImpactAgentLicense&1.0.0,scope,yes,array<string>,1..*,always,nias-o:licenseScope,SKOS concept IRI array,,Target mapping described in migration path; no current R adapter.
#LicenseApplication&1.0.0,headers,yes,ref:#DocumentHeaders&1.0.0,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#LicenseApplication&1.0.0,id_acc_h,yes,string,1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#LicenseApplication&1.0.0,license,yes,string enum[PROJECT_DEVELOPER|PDD_VALIDATOR|MR_VERIFIER],1,always,UNMAPPED,,,No current R adapter output identified in Phase 0 inventory.
#Methodology&1.0.0,label,yes,string,1,always,rdfs:label,literal string,sMethodology_1x0x0_toFluree.R,
#Methodology&1.0.0,title,yes,string,1,always,dcterms:title,literal string,sMethodology_1x0x0_toFluree.R,
#Methodology&1.0.0,version,yes,string,1,always,data:versionTag,literal string,sMethodology_1x0x0_toFluree.R,
#MethodologyApplicability&3.0.0,applicability,yes,string,1,always,UNMAPPED,,sImpact_3x0x0_toFluree.R,Applicability rationale is not emitted by current adapter.
#MethodologyApplicability&3.0.0,methodology,yes,ref:Methodology&1.0.0,1,always,nias-o:indicatorMethodology,embedded methodology node,sImpact_3x0x0_toFluree.R,Nested methodology.title/label/version emitted through sMethodology_1x0x0_toFluree.R.
#MonitoringReport&6.0.0,datasets,yes,array<ref:#Dataset&1.0.0>,1..*,always,nias-o:usesDataset,array of nias-o:Dataset nodes,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#MonitoringReport&6.0.0,headers,yes,ref:#DocumentHeaders&1.0.0,1,always,nias-o:hasWorkflowSubmission,nias-o:WorkflowDocumentSubmission node,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#MonitoringReport&6.0.0,id_acc_h,yes,string,1,always,nias-o:requestedIssuanceAccountId,literal string,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#MonitoringReport&6.0.0,indicator_label,yes,string,1,always,nias-o:reportedIndicatorLabel,literal string,,Covered by dataRequirements/monitoring-report-shapes.ttl with normalized indicator observation alongside it.
#MonitoringReport&6.0.0,ipfs_uri_impact,yes,string,1,always,nias-o:impactResultResource/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#MonitoringReport&6.0.0,ipfs_uri_report_calculation,yes,string,1,always,nias-o:calculationReport/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#MonitoringReport&6.0.0,ipfs_uri_rmd_calculation,yes,string,1,always,nias-o:calculationCode/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/monitoring-report-shapes.ttl.
#MonitoringReport&6.0.0,monitoring_period,yes,ref:#DateTimePeriod&1.0.0,1,always,nias-o:forPeriod and nias-o:reportedObservation/ind:timePeriod,time:Interval node,sMonitoringReport_6x0x0_toFluree.R,Covered by dataRequirements/monitoring-report-shapes.ttl.
